OverallQual,GrLivArea,SalePrice
7,1442,180500
5,1696,143900
4,1100,141000
7,2062,277000
6,1092,145000
5,864,98000
6,1212,186000
7,1852,252678
5,990,156000
6,1392,161750
5,1236,134450
7,1436,210000
4,1328,107000
7,1954,311500
7,1248,167240
7,1498,204900
6,2267,200000
6,1552,179900
4,864,97000
10,2392,386250
5,1302,112000
7,2520,290000
6,987,106000
5,912,125000
7,1555,192500
6,1194,148000
8,2794,403000
6,987,94500
5,894,128200
6,1960,216500
6,987,89500
7,1414,185500
7,1744,194500
8,1694,318000
6,1487,113000
8,1566,262500
5,866,110500
5,1440,79000
6,1217,120000
7,2110,205000
7,1872,241500
6,1928,137000
6,1375,140000
7,1668,180000
6,2144,277000
3,1306,76500
8,1625,235000
6,1640,173000
6,1302,158000
5,1314,145000
7,2291,230000
6,1728,207500
7,1604,220000
7,1792,231500
5,882,97000
6,1382,176000
8,2574,276000
6,1212,151000
5,1316,130000
5,764,73000
6,1422,175500
6,1511,185000
5,2192,179500
5,778,120500
6,1113,148000
8,1939,266000
7,1363,241500
8,2270,290000
6,1632,139000
5,816,124500
7,1548,205000
7,1560,201000
4,864,141000
9,2121,415298
7,2022,192000
7,1982,228500
6,1262,185000
7,1314,207500
8,1468,244600
6,1575,179200
7,1250,164700
6,1734,159000
4,858,88000
5,900,122000
6,1396,153575
8,1919,233230
5,1716,135900
5,1716,131000
7,2263,235000
6,1644,167000
6,1003,142500
5,1558,152000
7,1950,239000
6,1743,175000
6,1152,158500
5,1336,157000
8,2452,267000
7,1541,205000
5,894,149900
7,3493,295000
8,2000,305900
7,2243,225000
6,1406,89500
4,861,82500
9,1944,360000
6,1501,165600
6,972,132000
5,1118,119900
7,2036,375000
7,1641,178000
7,1432,188500
7,2353,260000
8,1959,270000
7,2646,260000
7,1472,187500
9,2596,342643
8,2468,354000
7,2730,301000
3,1163,126175
7,2978,242000
5,803,87000
8,1719,324000
6,1383,145250
6,2134,214500
5,1192,78000
5,1728,119000
5,1056,139000
8,1629,284000
7,1358,207000
6,1638,192000
5,1786,228950
9,1922,377426
7,1536,214000
7,1621,202500
6,1215,155000
8,1908,202900
4,841,82000
3,1040,87500
9,1684,266000
5,1112,85000
6,1577,140200
6,958,151500
6,1478,157500
7,1626,154000
9,2728,437154
9,1869,318061
7,1453,190000
5,1111,95000
6,720,105900
6,1595,140000
6,1200,177500
6,1167,173000
5,1142,134000
5,1352,130000
8,1924,280000
6,912,156000
5,1505,145000
7,1922,198500
6,987,118000
6,1574,190000
5,1344,147000
6,1394,159000
6,1431,165000
5,1268,132000
5,1287,162000
6,1664,172400
4,1588,134432
6,752,125000
5,1319,123000
7,1928,219500
1,904,61000
5,914,148000
8,2466,340000
9,1856,394432
6,1800,179000
5,1691,127000
7,1301,187750
7,1797,213500
6,784,76000
6,1953,240000
8,1269,192000
5,1184,81000
6,1125,125000
7,1479,191000
10,2332,426000
5,1367,119000
6,1961,215000
5,882,106500
4,788,100000
5,1034,109000
5,1144,129000
5,894,123000
5,1812,169500
5,1077,67000
7,1550,241000
8,1288,245500
7,1310,164990
5,672,108000
8,2263,258000
6,1572,168000
4,1620,150000
6,1639,115000
6,1680,177000
7,2172,280000
8,2078,339750
5,1276,60000
5,1056,145000
7,1478,222000
5,1028,115000
7,2097,228000
7,1340,181134
6,1400,149500
6,2624,239000
5,1134,126000
5,1056,142000
7,1344,206300
6,1602,215000
5,988,113000
8,2630,315000
6,1196,139000
7,1389,135000
7,1644,275000
4,907,109008
7,1208,195400
6,1412,175000
6,987,85400
6,1198,79900
5,1365,122500
6,1604,181000
4,630,81000
7,1661,212000
6,1118,116000
6,904,119000
5,694,90350
6,1196,110000
10,2402,555000
4,1440,118000
5,1573,162900
7,1258,172500
7,1908,210000
6,1689,127500
6,1888,190000
7,1886,199900
6,1376,119500
3,1183,120000
6,813,110000
7,1533,280000
6,1756,204000
8,1590,210000
5,1728,188000
7,1242,175500
5,1344,98000
4,1663,256000
8,1666,161000
5,1203,110000
8,1935,263435
7,1135,155000
5,864,62383
6,1660,188700
5,1040,124000
7,1414,178740
7,1277,167000
5,1644,146500
8,1634,250000
6,1710,187000
8,1502,212000
7,1969,190000
6,1072,148000
8,1976,440000
8,1652,251000
5,970,132500
6,1493,208900
9,2643,380000
8,1718,297000
4,1131,89471
9,1850,326000
9,1792,374000
7,1826,155000
6,1216,164000
5,999,132500
5,1113,147000
5,1073,156000
5,1484,175000
5,2414,160000
4,630,86000
5,1304,115000
6,1578,133000
6,1456,172785
5,1269,155000
5,886,91300
4,720,34900
8,3228,430000
7,1820,184000
5,899,130000
5,912,120000
6,1218,113000
7,1768,226700
5,1214,140000
7,1801,289000
6,1322,147000
5,1960,124500
8,1911,215000
6,1218,208300
7,1378,161000
5,1041,124500
5,1363,164900
7,1368,202665
5,864,129900
6,1080,134000
5,789,96500
10,2020,402861
6,2119,158000
7,2344,265000
6,1796,211000
7,2080,234000
4,1294,106250
6,1244,150000
6,1664,159000
10,4676,184750
7,2398,315750
7,1266,176000
5,928,132000
9,2713,446261
4,605,86000
6,2515,200624
6,1509,175000
6,1362,128000
5,827,107500
1,334,39300
8,1414,178000
5,1347,107500
7,1724,188000
4,864,111250
5,1159,158000
8,1601,272000
9,1838,315000
8,2285,248000
7,1680,213250
7,767,133000
7,1496,179665
7,2183,229000
6,1635,210000
5,768,129500
5,825,125000
7,2094,263000
6,1069,140000
5,928,112500
8,1717,255500
4,1126,108000
7,2046,284000
5,1048,113000
5,1092,141000
4,1336,108000
7,1446,175000
7,1557,234000
5,1392,121500
5,1389,170000
5,996,108000
6,1674,185000
7,2295,268000
6,1647,128000
9,2504,325000
7,1535,214000
8,2132,316600
5,943,135960
5,1728,142600
6,864,120000
7,1692,224500
7,1430,170000
5,1109,139000
5,1216,118500
7,1477,145000
5,1320,164500
7,1392,146000
5,1795,131500
6,1429,181900
8,2042,253293
6,816,118500
10,2775,325000
4,1573,133000
8,2028,369900
6,838,130000
5,860,137000
5,1473,143000
5,935,79500
7,1582,185900
10,2296,451950
5,816,138000
6,848,140000
5,924,110000
8,1826,319000
6,1368,114504
7,1402,194201
5,1647,217500
6,1556,151000
8,1904,275000
6,1375,141000
8,1915,220000
7,1200,151000
7,1494,221000
7,1986,205000
5,1040,152000
5,2008,225000
8,3194,359100
4,1029,118500
9,2153,313000
6,1032,148000
8,1872,261500
5,1120,147000
4,630,75500
6,1054,137500
6,1509,183200
6,832,105500
9,1828,314813
8,2262,305000
3,864,67000
6,2614,240000
5,980,135000
6,1512,168500
6,1790,165150
6,1116,160000
5,1422,139900
6,1520,153000
5,2080,135000
6,1350,168500
5,1750,124000
8,1554,209500
7,1411,82500
5,1056,139400
6,1056,144000
6,3395,200000
2,800,60000
5,1387,93000
5,796,85000
8,1567,264561
8,1518,274000
7,1929,226000
8,2704,345000
5,1620,152000
9,1766,370878
6,981,143250
5,1048,98300
6,1094,155000
6,1839,155000
4,630,84500
7,1665,205950
4,1510,108000
7,1716,191000
6,1469,135000
8,2113,350000
6,1092,88000
5,1053,145500
7,1502,149000
6,1458,97500
5,1486,167000
7,1935,197900
8,2448,402000
6,1392,110000
4,1181,137500
8,2097,423000
8,1936,230500
6,2380,129000
6,1679,193500
5,1437,168000
4,1180,137500
6,1476,173500
6,1369,103600
6,1208,165000
6,1839,257500
6,1136,140000
6,1441,148500
4,1774,87000
5,792,109500
8,2046,372500
5,988,128500
6,923,143000
5,1520,159434
6,1291,173000
9,1668,285000
7,1839,221000
7,2090,207500
7,1761,227875
7,1102,148800
8,1419,392000
6,1362,194700
6,848,141000
10,4316,755000
7,2519,335000
5,1073,108480
5,1539,141500
6,1137,176000
5,616,89000
5,1148,123500
5,894,138500
7,1391,196000
8,1800,312500
7,1164,140000
8,2576,361919
5,1812,140000
7,1484,213000
4,1092,55000
7,1824,302000
8,1324,254000
7,1456,179540
5,904,109900
3,729,52000
4,1178,102776
8,1228,189000
4,960,129000
6,1479,130500
6,1350,165000
7,2554,159500
5,1178,157000
7,2418,341000
5,971,128500
8,1742,275000
6,848,143000
4,864,124500
4,1470,135000
9,1698,320000
4,864,120500
6,1680,222000
7,1232,194500
5,1776,110000
4,1208,103000
8,1616,236500
7,1146,187500
7,2031,222500
5,1144,131400
5,948,108000
7,1768,163000
3,1040,93500
8,1801,239900
5,1200,179000
7,1728,190000
5,1432,132000
6,912,142000
7,1349,179000
5,1464,175000
8,1337,180000
8,2715,299800
7,2256,236000
7,2640,265979
7,1720,260400
4,1529,98000
4,1140,96500
7,1320,162000
6,1494,217000
8,2098,275500
6,1026,156000
6,1471,172500
8,1768,212000
6,1386,158900
7,1501,179400
8,2531,290000
6,864,127500
5,1301,100000
7,1547,215200
8,2365,337000
8,1494,270000
9,1506,264132
7,1714,196500
6,1750,160000
7,1836,216837
8,3279,538000
5,858,134900
4,1220,102000
6,1117,107000
5,912,114500
8,1973,395000
6,1204,162000
7,1614,221500
5,894,142500
5,2020,144000
6,1004,135000
7,1253,176000
6,1603,175900
7,1430,187100
5,1110,165500
6,1484,128000
6,1342,161500
5,1652,139000
7,2084,233000
4,901,107900
6,2087,187500
7,1145,160200
6,1062,146800
7,2013,269790
8,1496,225000
7,1895,194500
6,1564,171000
6,1285,143500
5,773,110000
9,3140,485000
5,1768,175000
6,1688,200000
4,1196,109900
7,1456,189000
9,2822,582933
5,1128,118000
7,1428,227680
5,980,135500
5,1576,223500
5,1086,159950
5,2138,106000
6,1309,181000
6,848,144500
5,1044,55993
6,1442,157900
5,1250,116000
7,1661,224900
5,1008,137000
8,1689,271000
6,1052,155000
7,1358,224000
7,1640,183000
4,936,93000
7,1733,225000
6,1489,139500
8,1489,232600
10,2084,385000
5,784,109500
7,1434,189000
5,2126,185000
7,1223,147400
6,1392,166000
7,1200,151000
7,1829,237000
6,1516,167000
5,1144,139950
4,1067,128000
5,1559,153500
6,987,100000
5,1099,144000
5,1200,130500
6,1482,140000
5,1539,157500
6,1165,174900
5,1800,141000
5,1416,153900
5,1701,171000
7,1775,213000
5,864,133500
6,2358,240000
6,1855,187000
6,848,131500
8,1456,215000
7,1646,164000
6,1445,158000
5,1779,170000
5,1040,127000
6,1026,147000
6,1481,174000
7,1370,152000
6,2654,250000
7,1426,189950
5,1039,131500
6,1097,152000
5,1148,132500
7,1372,250580
5,1002,148500
8,1646,248900
4,1120,129000
5,2320,169000
7,1949,236000
5,894,109500
6,1682,200500
5,910,116000
5,1268,133000
5,1131,66500
8,2610,303477
4,1040,132250
9,2224,350000
5,1155,148000
5,864,136500
5,1090,157000
7,1717,187500
6,1593,178000
4,2230,118500
5,892,100000
9,1709,328900
5,1712,145000
5,1393,135500
8,2217,268000
6,1505,149500
5,924,122900
6,1683,172500
6,1068,154500
5,1383,165000
5,1535,118858
6,1796,140000
4,951,106500
5,2240,142953
9,2364,611657
5,1236,135000
4,858,110000
5,1306,153000
7,1509,180000
7,1670,240000
5,902,125500
5,1063,128000
8,1636,255000
7,2057,250000
5,902,131000
6,1484,174000
5,2274,154300
5,1268,143500
5,1015,88000
5,2002,145000
6,1224,173733
4,1092,75000
2,480,35311
4,1229,135000
7,2127,238000
6,1414,176500
6,1721,201000
5,2200,145900
6,1316,169990
6,1617,193000
6,1686,207500
5,1126,175000
8,2374,285000
7,1978,176000
8,1788,236500
7,2236,222000
8,1466,201000
5,925,117500
9,1905,320000
7,1500,190000
7,2069,242000
4,747,79900
7,1200,184900
7,1971,253000
7,1962,239799
7,2403,244400
6,1728,150900
7,2060,214000
4,1440,150000
5,1632,143000
6,1344,137500
5,1869,124900
5,1144,143000
8,1629,270000
7,1776,192500
6,1381,197500
5,864,129000
5,965,119900
5,768,133900
5,1968,172000
6,980,127500
6,1958,145000
6,1229,124000
5,1057,132000
7,1337,185000
7,1416,155000
5,858,116500
6,2872,272000
6,1548,155000
9,1800,239000
7,1894,214900
6,1484,178900
5,1308,160000
5,1098,135000
3,968,37900
6,1095,140000
4,1192,135000
7,1626,173000
6,918,99500
7,1428,182000
7,2019,167500
7,1382,165000
4,869,85500
7,1241,199900
4,894,110000
5,1121,139000
7,999,178400
8,2612,336000
7,1266,159895
8,2290,255900
5,1734,126000
5,1164,125000
6,1635,117000
9,1940,395192
6,2030,195000
7,1576,197000
8,2392,348000
8,1742,168000
6,1851,187000
6,1500,173900
10,1718,337500
4,1230,121600
5,1050,136500
6,1442,185000
3,1077,91000
7,1208,206000
3,944,82000
5,691,86000
8,1574,232000
5,1680,136905
7,1504,181000
5,985,149900
6,1657,163500
4,1092,88000
7,1710,240000
5,1522,102000
5,1271,135000
5,1664,100000
6,1502,165000
5,1022,85000
6,1082,119200
8,1665,227000
7,1504,203000
8,1360,187500
7,1472,160000
7,1506,213490
4,1132,176000
7,1220,194000
5,1248,87000
7,1504,191000
8,2898,287000
5,882,112500
5,1264,167500
8,1646,293077
5,1376,105000
6,1218,118000
5,1928,160000
7,3082,197000
8,2520,310000
7,1654,230000
5,954,119750
4,845,84000
9,1620,315500
8,2263,287000
4,1344,97000
4,630,80000
5,1803,155000
6,1632,173000
6,1306,196000
7,2329,262280
8,2524,278000
3,1733,139600
9,2868,556581
5,990,145000
5,1771,115000
4,930,84900
7,1302,176485
7,1316,200141
6,1977,165000
5,1526,144500
8,1989,255000
6,1523,180000
7,1364,185850
7,1850,248000
9,2184,335000
6,1991,220000
8,1338,213500
3,894,81000
5,2337,90000
6,1103,110500
5,1154,154000
7,2260,328000
6,1571,178000
6,1611,167900
6,2521,151400
5,893,135000
5,1048,135000
6,1556,154000
5,1456,91500
6,1426,159500
7,1240,194000
7,1740,219500
5,1466,170000
5,1096,138800
6,848,155900
5,990,126000
6,1258,145000
5,1040,133000
7,1459,192000
6,1251,160000
6,1498,187500
6,996,147000
4,1092,83500
8,1953,252000
7,1709,137500
8,1247,197000
3,1040,92900
7,1252,160000
6,1694,136500
5,1200,146000
5,936,129000
6,1314,176432
6,1355,127000
8,1088,170000
4,1324,128000
7,1601,157000
2,438,60000
5,950,119500
5,1134,135000
6,1194,159500
5,1302,106000
8,2622,325000
7,1442,179900
7,2021,274725
6,1690,181000
8,1836,280000
6,1658,188000
7,1964,205000
5,816,129900
5,1008,134500
5,833,117000
8,1734,318000
8,1419,184100
5,894,130000
5,1601,140000
5,1040,133700
6,1012,118400
7,1552,212900
4,960,112000
5,698,118000
7,1482,163900
4,1005,115000
7,1555,174000
7,1530,259000
7,1959,215000
5,936,140000
4,1981,135000
5,974,93500
6,2210,117500
8,2020,239500
6,1600,169000
6,986,102000
6,1252,119000
5,1020,94000
6,1567,196000
5,1167,144000
5,952,139000
5,1868,197500
8,2828,424870
5,1006,80000
4,924,80000
5,1576,149000
6,1298,180000
7,1564,174500
7,1111,116900
7,1482,143000
6,932,124000
5,1466,149900
6,1811,230000
6,816,120500
7,1820,201800
5,1437,218000
5,1265,179900
7,1314,230000
8,1580,235128
6,1876,185000
6,1456,146000
6,1640,224000
5,894,129000
4,1258,108959
5,1432,194000
7,1502,233170
8,1694,245350
6,1671,173000
6,2108,235000
10,3627,625000
6,1118,171000
6,1261,163000
7,1250,171900
5,3086,200500
6,2345,239000
8,2872,285000
5,923,119500
6,1224,115000
5,1343,154900
5,1124,93000
7,2514,250000
8,1652,392500
10,4476,745000
5,1130,120000
5,1572,186700
5,1221,104900
3,1699,95000
8,1624,262000
7,1660,195000
7,1804,189000
4,1622,168000
8,1441,174000
5,1472,125000
6,1224,165000
6,1352,158000
6,1456,176000
7,1863,219210
7,1690,144000
7,1212,178000
4,1382,148000
4,864,116050
7,1779,197900
5,1348,117000
7,1630,213000
5,1074,153500
7,2196,271900
4,1056,107000
6,1700,200000
5,1283,140000
8,1660,290000
6,1845,189000
8,1752,164000
4,672,113000
4,960,145000
5,999,134500
5,894,125000
6,1902,112000
8,1314,229456
4,912,80500
6,1218,91500
5,912,115000
5,1211,134000
6,1846,143000
5,2136,137900
7,1490,184000
6,1138,145000
6,1933,214000
5,912,147000
9,1702,367294
5,1507,127000
5,2620,190000
5,1190,132500
4,1224,101800
5,1188,142000
5,1964,130000
5,1784,138887
7,1626,175500
7,1948,195000
6,1141,142500
8,1484,265900
7,1768,224900
7,1689,248328
7,1173,170000
10,2076,465000
8,1517,230000
6,1868,178000
7,1553,186500
6,1034,169900
6,2058,129500
5,988,119000
7,2110,244000
7,1405,171750
5,874,130000
7,2167,294000
7,1656,165400
6,1367,127500
8,1987,301500
5,864,99900
7,1166,190000
6,1054,151000
6,1675,181000
5,1050,128900
4,1788,161500
6,1824,180500
6,1337,181000
7,1452,183900
7,1889,122000
9,2018,378500
8,3447,381000
5,1524,144000
7,1524,260000
6,1489,185750
5,935,137000
6,1357,177000
5,1250,139000
5,1920,137000
6,1395,162000
6,1724,197900
8,2031,237000
4,1128,68400
7,1573,227000
7,1339,180000
5,1040,150500
6,1824,139000
6,2447,169000
6,1412,132500
6,1328,143000
5,1582,190000
8,1659,278000
8,1970,281000
5,1152,180500
5,1302,119500
5,2372,107500
7,1664,162900
5,864,115000
5,1052,138500
5,1128,155000
6,1072,140000
10,5642,160000
5,1246,154000
7,1983,225000
6,1494,177500
8,2526,290000
7,1616,232000
7,1708,130000
9,1652,325000
7,1368,202500
5,990,138000
5,1122,147000
6,1294,179200
7,1902,335000
7,1274,203000
8,2810,302000
9,2599,333168
4,948,119000
6,2112,206900
8,1630,295493
7,1352,208900
8,1787,275000
4,948,111000
6,1478,156500
3,720,72500
7,1923,190000
4,708,82500
8,1795,147000
4,796,55000
3,774,79000
5,816,130500
6,2792,256000
7,1632,176500
8,1588,227000
5,954,132500
4,816,100000
5,1360,125500
5,1365,125000
6,1334,167900
5,1656,135000
4,693,52500
7,1861,200000
5,864,128500
4,872,123000
6,1114,155000
8,2169,228500
6,1913,177000
7,1456,155835
4,960,108500
7,2156,262500
8,1776,283463
7,1494,215000
8,2358,122000
5,2634,200000
6,1716,171000
6,1176,134900
8,3238,410000
7,1865,235000
7,1920,170000
5,892,110000
5,1078,149900
6,1573,177500
9,1980,315000
5,2601,189000
7,1530,260000
4,1738,104900
6,1412,156932
7,1200,144152
7,1674,216000
7,1790,193000
5,1475,127000
6,848,144000
8,1668,232000
4,1374,105000
6,1661,165500
7,2097,274300
10,2633,466500
7,1958,250000
8,1571,239000
6,790,91000
5,1604,117000
6,987,83000
5,1394,167500
3,864,58500
6,2117,237500
7,1762,157000
5,1416,112000
6,1258,105000
4,1154,125500
7,2784,250000
6,2526,136000
9,1746,377500
6,1218,131000
7,1525,235000
5,1584,124000
5,900,123000
6,1912,163000
7,1500,246578
8,2482,281213
5,1687,160000
5,1513,137500
5,1904,138000
6,1608,137450
6,1158,120000
6,1593,193000
7,1294,193879
8,1464,282922
3,1214,105000
8,1646,275000
5,768,133000
5,833,112000
4,1363,125500
7,2093,215000
7,1840,230000
6,1668,140000
4,1040,90000
8,1844,257000
6,1848,207000
7,1569,175900
4,2290,122500
8,2450,340000
5,1144,124000
6,1844,223000
6,1416,179900
6,1069,127500
6,848,136500
6,2201,274970
5,1344,144000
6,1252,142000
7,2127,271000
5,1558,140000
5,804,119000
6,1440,182900
5,1838,192140
6,958,143750
4,968,64500
6,1792,186500
5,1126,160000
6,1537,174000
4,864,120500
8,1932,394617
6,1236,149700
7,1725,197000
6,2555,191000
6,848,149300
10,2007,310000
6,952,121000
7,1422,179600
6,913,129000
5,1188,157900
8,2090,240000
4,1346,112000
5,630,92000
5,1792,136000
8,1578,287090
5,1072,145000
5,1140,84500
7,1221,185000
6,1647,175000
6,2073,210000
7,2340,266500
5,1078,142125
5,1256,147500
